liga,family,period,direction,predictions,hit_rate,brier
bundesliga,dupla,FT,x2,1362,0.5602055800293686,0.25003557446075436
bundesliga,dupla,HT,12,1362,0.6402349486049926,0.23233148828654118
bundesliga,dupla,HT,1x,1362,0.7187958883994127,0.20019037213065152
bundesliga,dupla,HT,x2,1362,0.6409691629955947,0.22189892063315622
bundesliga,escanteios,FT,over,27240,0.4236784140969163,0.19725512547062318
bundesliga,escanteios,FT,under,27240,0.5763215859030837,0.19725512547062318
bundesliga,escanteios,HT,over,20430,0.449632892804699,0.18518823491739872
bundesliga,escanteios,HT,under,20430,0.550367107195301,0.18518823491739872
bundesliga,escanteios_1x2,FT,away,1362,0.35609397944199705,0.21411337097412267
bundesliga,escanteios_1x2,FT,draw,1362,0.09985315712187959,0.0900144299637339
bundesliga,escanteios_1x2,FT,home,1362,0.5440528634361234,0.23298785204976483
bundesliga,escanteios_1x2,HT,away,1362,0.3406754772393539,0.21522823452435608
bundesliga,escanteios_1x2,HT,draw,1362,0.15638766519823788,0.13348825724129024
bundesliga,escanteios_1x2,HT,home,1362,0.5029368575624082,0.24287696814434145
bundesliga,escanteios_handicap,FT,away_minus_1_5,1362,0.2753303964757709,0.28113367726610794
bundesliga,escanteios_handicap,FT,away_minus_2_5,1362,0.19530102790014683,0.3988174777963109
bundesliga,escanteios_handicap,FT,away_minus_3_5,1362,0.14096916299559473,0.5399644726365507
bundesliga,escanteios_handicap,FT,away_minus_4_5,1362,0.09324522760646109,0.6804716624083796
bundesliga,escanteios_handicap,FT,away_plus_1_5,1362,0.5543318649045521,0.3355006028575452
bundesliga,escanteios_handicap,FT,away_plus_2_5,1362,0.6365638766519823,0.45578043418872327
bundesliga,escanteios_handicap,FT,away_plus_3_5,1362,0.7136563876651982,0.582588727331196
bundesliga,escanteios_handicap,FT,away_plus_4_5,1362,0.7929515418502202,0.7086822101238222
bundesliga,escanteios_handicap,FT,home_minus_1_5,1362,0.4456681350954479,0.2345429627716838
bundesliga,escanteios_handicap,FT,home_minus_2_5,1362,0.3634361233480176,0.22395672265702068
bundesliga,escanteios_handicap,FT,home_minus_3_5,1362,0.28634361233480177,0.19958555391164956
bundesliga,escanteios_handicap,FT,home_minus_4_5,1362,0.20704845814977973,0.1625238038580027
bundesliga,escanteios_handicap,FT,home_plus_1_5,1362,0.724669603524229,0.18747326303431716
