liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao-b,cartoes_1x2,FT,away,310,0.429032,0.452720,0.230937,0.641248,0.593548
brasileirao-b,cartoes_1x2,FT,draw,310,0.200000,0.171692,0.159641,0.497928,0.800000
brasileirao-b,cartoes_1x2,FT,home,310,0.370968,0.375588,0.215601,0.612386,0.641935
brasileirao-b,chutes,FT,over,9610,0.632466,0.653559,0.156988,0.485195,0.763580
brasileirao-b,chutes,FT,under,9610,0.367534,0.346441,0.156988,0.485195,0.763580
brasileirao-b,chutes,HT,over,4030,0.945906,0.818192,0.060097,0.220283,0.930025
brasileirao-b,chutes,HT,under,4030,0.054094,0.181808,0.060097,0.220283,0.930025
brasileirao-b,chutes_alvo,FT,over,5270,0.562239,0.648294,0.206631,0.607715,0.693169
brasileirao-b,chutes_alvo,FT,under,5270,0.437761,0.351706,0.206631,0.607715,0.693169
brasileirao-b,chutes_alvo,HT,over,2790,0.866308,0.532740,0.246967,0.684656,0.588889
brasileirao-b,chutes_alvo,HT,under,2790,0.133692,0.467260,0.246967,0.684656,0.588889
brasileirao-b,correct_score,FT,0_0,310,0.093548,0.122675,0.087293,0.312406,0.906452
brasileirao-b,correct_score,FT,0_1,310,0.087097,0.063332,0.081152,0.315585,0.912903
brasileirao-b,correct_score,FT,0_2,310,0.022581,0.022963,0.022259,0.108638,0.977419
brasileirao-b,correct_score,FT,0_3,310,0.009677,0.005917,0.009566,0.079670,0.990323
brasileirao-b,correct_score,FT,0_4,310,0.003226,0.001314,0.003221,0.021527,0.996774
brasileirao-b,correct_score,FT,1_0,310,0.135484,0.158767,0.121612,0.409045,0.864516
brasileirao-b,correct_score,FT,1_1,310,0.154839,0.098220,0.133492,0.450129,0.845161
brasileirao-b,correct_score,FT,1_2,310,0.077419,0.031530,0.073593,0.322643,0.922581
brasileirao-b,correct_score,FT,1_3,310,0.025806,0.008147,0.025386,0.132010,0.974194
brasileirao-b,correct_score,FT,1_4,310,0.003226,0.001826,0.003235,0.025166,0.996774
brasileirao-b,correct_score,FT,2_0,310,0.090323,0.129265,0.082282,0.303903,0.909677
brasileirao-b,correct_score,FT,2_1,310,0.112903,0.073339,0.101446,0.361920,0.887097
brasileirao-b,correct_score,FT,2_2,310,0.067742,0.024624,0.065027,0.278949,0.932258
brasileirao-b,correct_score,FT,2_3,310,0.012903,0.006360,0.012711,0.070648,0.987097
brasileirao-b,correct_score,FT,2_4,310,0.003226,0.001430,0.003231,0.026128,0.996774
brasileirao-b,correct_score,FT,3_0,310,0.029032,0.076167,0.031653,0.153510,0.970968
brasileirao-b,correct_score,FT,3_1,310,0.029032,0.042890,0.028026,0.127459,0.970968
brasileirao-b,correct_score,FT,3_2,310,0.012903,0.014348,0.012942,0.076973,0.987097
brasileirao-b,correct_score,FT,3_3,310,0.003226,0.003704,0.003251,0.026317,0.996774
