liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,faltas,FT,7,0.70,0.80,3842,0.749673,0.663196,-0.086476
brasileirao,faltas,FT,8,0.80,0.90,5007,0.852823,0.779708,-0.073114
brasileirao,faltas,FT,9,0.90,1.00,8512,0.954156,0.911772,-0.042385
brasileirao,gols,2T,0,0.00,0.10,1672,0.055975,0.044258,-0.011717
brasileirao,gols,2T,1,0.10,0.20,1803,0.151836,0.140876,-0.010960
brasileirao,gols,2T,2,0.20,0.30,1695,0.245780,0.229499,-0.016282
brasileirao,gols,2T,3,0.30,0.40,1055,0.349460,0.315640,-0.033821
brasileirao,gols,2T,4,0.40,0.50,1155,0.451130,0.422511,-0.028619
brasileirao,gols,2T,5,0.50,0.60,1155,0.548870,0.577489,0.028619
brasileirao,gols,2T,6,0.60,0.70,1055,0.650540,0.684360,0.033821
brasileirao,gols,2T,7,0.70,0.80,1695,0.754220,0.770501,0.016282
brasileirao,gols,2T,8,0.80,0.90,1803,0.848164,0.859124,0.010960
brasileirao,gols,2T,9,0.90,1.00,1672,0.944025,0.955742,0.011717
brasileirao,gols,FT,0,0.00,0.10,12685,0.034380,0.040678,0.006298
brasileirao,gols,FT,1,0.10,0.20,5663,0.146844,0.163341,0.016497
brasileirao,gols,FT,2,0.20,0.30,3845,0.248217,0.250715,0.002499
brasileirao,gols,FT,3,0.30,0.40,3435,0.350927,0.351383,0.000456
brasileirao,gols,FT,4,0.40,0.50,3892,0.451423,0.449383,-0.002039
brasileirao,gols,FT,5,0.50,0.60,3892,0.548577,0.550617,0.002039
brasileirao,gols,FT,6,0.60,0.70,3435,0.649073,0.648617,-0.000456
brasileirao,gols,FT,7,0.70,0.80,3845,0.751783,0.749285,-0.002499
brasileirao,gols,FT,8,0.80,0.90,5663,0.853156,0.836659,-0.016497
brasileirao,gols,FT,9,0.90,1.00,12685,0.965620,0.959322,-0.006298
brasileirao,gols,HT,0,0.00,0.10,5413,0.041349,0.061519,0.020170
brasileirao,gols,HT,1,0.10,0.20,2159,0.149072,0.170912,0.021840
brasileirao,gols,HT,2,0.20,0.30,2803,0.249105,0.303603,0.054498
brasileirao,gols,HT,3,0.30,0.40,2317,0.349434,0.339663,-0.009770
brasileirao,gols,HT,4,0.40,0.50,2068,0.448272,0.429884,-0.018389
brasileirao,gols,HT,5,0.50,0.60,2068,0.551728,0.570116,0.018389
brasileirao,gols,HT,6,0.60,0.70,2317,0.650566,0.660337,0.009770
brasileirao,gols,HT,7,0.70,0.80,2803,0.750895,0.696397,-0.054498
brasileirao,gols,HT,8,0.80,0.90,2159,0.850928,0.829088,-0.021840
brasileirao,gols,HT,9,0.90,1.00,5413,0.958651,0.938481,-0.020170
brasileirao,handicap,FT,0,0.00,0.10,6761,0.039246,0.062121,0.022875
brasileirao,handicap,FT,1,0.10,0.20,3579,0.150401,0.143895,-0.006507
brasileirao,handicap,FT,2,0.20,0.30,3588,0.241669,0.232163,-0.009506
brasileirao,handicap,FT,3,0.30,0.40,1123,0.350319,0.335708,-0.014612
brasileirao,handicap,FT,4,0.40,0.50,970,0.448569,0.454639,0.006070
brasileirao,handicap,FT,5,0.50,0.60,899,0.547846,0.590656,0.042810
brasileirao,handicap,FT,6,0.60,0.70,840,0.649645,0.688095,0.038450
brasileirao,handicap,FT,7,0.70,0.80,969,0.752435,0.762642,0.010207
brasileirao,handicap,FT,8,0.80,0.90,1360,0.854562,0.802206,-0.052357
brasileirao,handicap,FT,9,0.90,1.00,2051,0.951348,0.904437,-0.046911
brasileirao,htft,FULL,0,0.00,0.10,10154,0.034980,0.053673,0.018694
brasileirao,htft,FULL,1,0.10,0.20,2907,0.148996,0.150327,0.001331
brasileirao,htft,FULL,2,0.20,0.30,2295,0.236005,0.196514,-0.039491
brasileirao,htft,FULL,3,0.30,0.40,633,0.347763,0.298578,-0.049185
brasileirao,htft,FULL,4,0.40,0.50,435,0.443264,0.358621,-0.084643
brasileirao,htft,FULL,5,0.50,0.60,144,0.541771,0.361111,-0.180660
brasileirao,htft,FULL,6,0.60,0.70,30,0.634320,0.366667,-0.267653
brasileirao,htft,FULL,7,0.70,0.80,7,0.722225,0.571429,-0.150797
